track_sample_id,label,source_path,condition,bitrate,compressed_path,ok,status,size_bytes
sample_00178,REAL,data/raw/FMA/selected_30s/121/121726.mp3,mp3_128,128k,data/processed/mp3_robustness/mp3_128/sample_00178.mp3,True,encoded,481234
sample_00178,REAL,data/raw/FMA/selected_30s/121/121726.mp3,mp3_64,64k,data/processed/mp3_robustness/mp3_64/sample_00178.mp3,True,encoded,240907
sample_00180,REAL,data/raw/FMA/selected_30s/132/132443.mp3,mp3_128,128k,data/processed/mp3_robustness/mp3_128/sample_00180.mp3,True,encoded,481630
sample_00180,REAL,data/raw/FMA/selected_30s/132/132443.mp3,mp3_64,64k,data/processed/mp3_robustness/mp3_64/sample_00180.mp3,True,encoded,241094
sample_00195,REAL,data/raw/FMA/selected_30s/140/140925.mp3,mp3_128,128k,data/processed/mp3_robustness/mp3_128/sample_00195.mp3,True,encoded,481695
sample_00195,REAL,data/raw/FMA/selected_30s/140/140925.mp3,mp3_64,64k,data/processed/mp3_robustness/mp3_64/sample_00195.mp3,True,encoded,241159
sample_00196,REAL,data/raw/FMA/selected_30s/148/148889.mp3,mp3_128,128k,data/processed/mp3_robustness/mp3_128/sample_00196.mp3,True,encoded,481752
sample_00196,REAL,data/raw/FMA/selected_30s/148/148889.mp3,mp3_64,64k,data/processed/mp3_robustness/mp3_64/sample_00196.mp3,True,encoded,241216
sample_00198,REAL,data/raw/FMA/selected_30s/006/006793.mp3,mp3_128,128k,data/processed/mp3_robustness/mp3_128/sample_00198.mp3,True,encoded,481361
sample_00198,REAL,data/raw/FMA/selected_30s/006/006793.mp3,mp3_64,64k,data/processed/mp3_robustness/mp3_64/sample_00198.mp3,True,encoded,241034
sample_00206,REAL,data/raw/FMA/selected_30s/022/022478.mp3,mp3_128,128k,data/processed/mp3_robustness/mp3_128/sample_00206.mp3,True,encoded,481607
sample_00206,REAL,data/raw/FMA/selected_30s/022/022478.mp3,mp3_64,64k,data/processed/mp3_robustness/mp3_64/sample_00206.mp3,True,encoded,241071
sample_00207,REAL,data/raw/FMA/selected_30s/129/129969.mp3,mp3_128,128k,data/processed/mp3_robustness/mp3_128/sample_00207.mp3,True,encoded,481576
sample_00207,REAL,data/raw/FMA/selected_30s/129/129969.mp3,mp3_64,64k,data/processed/mp3_robustness/mp3_64/sample_00207.mp3,True,encoded,241040
sample_00216,REAL,data/raw/FMA/selected_30s/147/147951.mp3,mp3_128,128k,data/processed/mp3_robustness/mp3_128/sample_00216.mp3,True,encoded,481599
sample_00216,REAL,data/raw/FMA/selected_30s/147/147951.mp3,mp3_64,64k,data/processed/mp3_robustness/mp3_64/sample_00216.mp3,True,encoded,241063
sample_00217,REAL,data/raw/FMA/selected_30s/132/132439.mp3,mp3_128,128k,data/processed/mp3_robustness/mp3_128/sample_00217.mp3,True,encoded,481707
sample_00217,REAL,data/raw/FMA/selected_30s/132/132439.mp3,mp3_64,64k,data/processed/mp3_robustness/mp3_64/sample_00217.mp3,True,encoded,241171
sample_00223,REAL,data/raw/FMA/selected_30s/102/102190.mp3,mp3_128,128k,data/processed/mp3_robustness/mp3_128/sample_00223.mp3,True,encoded,481377
sample_00223,REAL,data/raw/FMA/selected_30s/102/102190.mp3,mp3_64,64k,data/processed/mp3_robustness/mp3_64/sample_00223.mp3,True,encoded,241050
sample_00224,REAL,data/raw/FMA/selected_30s/033/033625.mp3,mp3_128,128k,data/processed/mp3_robustness/mp3_128/sample_00224.mp3,True,encoded,481779
sample_00224,REAL,data/raw/FMA/selected_30s/033/033625.mp3,mp3_64,64k,data/processed/mp3_robustness/mp3_64/sample_00224.mp3,True,encoded,241243
sample_00236,REAL,data/raw/FMA/selected_30s/127/127297.mp3,mp3_128,128k,data/processed/mp3_robustness/mp3_128/sample_00236.mp3,True,encoded,483241
sample_00236,REAL,data/raw/FMA/selected_30s/127/127297.mp3,mp3_64,64k,data/processed/mp3_robustness/mp3_64/sample_00236.mp3,True,encoded,242914
sample_00241,REAL,data/raw/FMA/selected_30s/141/141617.mp3,mp3_128,128k,data/processed/mp3_robustness/mp3_128/sample_00241.mp3,True,encoded,481814
sample_00241,REAL,data/raw/FMA/selected_30s/141/141617.mp3,mp3_64,64k,data/processed/mp3_robustness/mp3_64/sample_00241.mp3,True,encoded,241278
sample_00252,REAL,data/raw/FMA/selected_30s/113/113018.mp3,mp3_128,128k,data/processed/mp3_robustness/mp3_128/sample_00252.mp3,True,encoded,481667
sample_00252,REAL,data/raw/FMA/selected_30s/113/113018.mp3,mp3_64,64k,data/processed/mp3_robustness/mp3_64/sample_00252.mp3,True,encoded,241131
sample_00253,REAL,data/raw/FMA/selected_30s/143/143059.mp3,mp3_128,128k,data/processed/mp3_robustness/mp3_128/sample_00253.mp3,True,encoded,481313
sample_00253,REAL,data/raw/FMA/selected_30s/143/143059.mp3,mp3_64,64k,data/processed/mp3_robustness/mp3_64/sample_00253.mp3,True,encoded,240986
sample_00257,REAL,data/raw/FMA/selected_30s/140/140149.mp3,mp3_128,128k,data/processed/mp3_robustness/mp3_128/sample_00257.mp3,True,encoded,481638
sample_00257,REAL,data/raw/FMA/selected_30s/140/140149.mp3,mp3_64,64k,data/processed/mp3_robustness/mp3_64/sample_00257.mp3,True,encoded,241102
sample_00270,REAL,data/raw/FMA/selected_30s/004/004384.mp3,mp3_128,128k,data/processed/mp3_robustness/mp3_128/sample_00270.mp3,True,encoded,481322
sample_00270,REAL,data/raw/FMA/selected_30s/004/004384.mp3,mp3_64,64k,data/processed/mp3_robustness/mp3_64/sample_00270.mp3,True,encoded,240786
sample_00271,REAL,data/raw/FMA/selected_30s/003/003936.mp3,mp3_128,128k,data/processed/mp3_robustness/mp3_128/sample_00271.mp3,True,encoded,481024
sample_00271,REAL,data/raw/FMA/selected_30s/003/003936.mp3,mp3_64,64k,data/processed/mp3_robustness/mp3_64/sample_00271.mp3,True,encoded,240697
sample_00279,REAL,data/raw/FMA/selected_30s/130/130137.mp3,mp3_128,128k,data/processed/mp3_robustness/mp3_128/sample_00279.mp3,True,encoded,481280
sample_00279,REAL,data/raw/FMA/selected_30s/130/130137.mp3,mp3_64,64k,data/processed/mp3_robustness/mp3_64/sample_00279.mp3,True,encoded,240953
sample_00298,FAKE,data/raw/Echoes/Echoes/TTA/acestep/2Much_Andy_Spinelli_Alex_Sánchez_House_Edit_Tentacles_acestep_TTA_001.mp3,mp3_128,128k,data/processed/mp3_robustness/mp3_128/sample_00298.mp3,True,already_exists,1292589
sample_00298,FAKE,data/raw/Echoes/Echoes/TTA/acestep/2Much_Andy_Spinelli_Alex_Sánchez_House_Edit_Tentacles_acestep_TTA_001.mp3,mp3_64,64k,data/processed/mp3_robustness/mp3_64/sample_00298.mp3,True,already_exists,646317
sample_00300,FAKE,data/raw/Echoes/Echoes/TTA/acestep/3_am_West_End_statusq_acestep_TTA_001.mp3,mp3_128,128k,data/processed/mp3_robustness/mp3_128/sample_00300.mp3,True,encoded,1295277
sample_00300,FAKE,data/raw/Echoes/Echoes/TTA/acestep/3_am_West_End_statusq_acestep_TTA_001.mp3,mp3_64,64k,data/processed/mp3_robustness/mp3_64/sample_00300.mp3,True,encoded,647661
sample_00302,FAKE,data/raw/Echoes/Echoes/TTA/acestep/5_Lexington_Isle_of_Pine_acestep_TTA_001.mp3,mp3_128,128k,data/processed/mp3_robustness/mp3_128/sample_00302.mp3,True,encoded,789933
sample_00302,FAKE,data/raw/Echoes/Echoes/TTA/acestep/5_Lexington_Isle_of_Pine_acestep_TTA_001.mp3,mp3_64,64k,data/processed/mp3_robustness/mp3_64/sample_00302.mp3,True,encoded,394989
sample_00314,FAKE,data/raw/Echoes/Echoes/TTA/acestep/Attention_Pete_Prodoehl_acestep_TTA_001.mp3,mp3_128,128k,data/processed/mp3_robustness/mp3_128/sample_00314.mp3,True,encoded,1433517
sample_00314,FAKE,data/raw/Echoes/Echoes/TTA/acestep/Attention_Pete_Prodoehl_acestep_TTA_001.mp3,mp3_64,64k,data/processed/mp3_robustness/mp3_64/sample_00314.mp3,True,encoded,716781
sample_00324,FAKE,data/raw/Echoes/Echoes/TTA/acestep/Bizzy_The_Tleilaxu_Music_Machine_acestep_TTA_001.mp3,mp3_128,128k,data/processed/mp3_robustness/mp3_128/sample_00324.mp3,True,encoded,481197
sample_00324,FAKE,data/raw/Echoes/Echoes/TTA/acestep/Bizzy_The_Tleilaxu_Music_Machine_acestep_TTA_001.mp3,mp3_64,64k,data/processed/mp3_robustness/mp3_64/sample_00324.mp3,True,encoded,240621
sample_00340,FAKE,data/raw/Echoes/Echoes/TTA/acestep/Dance_Harder_Three_Chain_Links_acestep_TTA_001.mp3,mp3_128,128k,data/processed/mp3_robustness/mp3_128/sample_00340.mp3,True,encoded,784173
sample_00340,FAKE,data/raw/Echoes/Echoes/TTA/acestep/Dance_Harder_Three_Chain_Links_acestep_TTA_001.mp3,mp3_64,64k,data/processed/mp3_robustness/mp3_64/sample_00340.mp3,True,encoded,392109
sample_00345,FAKE,data/raw/Echoes/Echoes/TTA/acestep/Different_Day_First_acestep_TTA_001.mp3,mp3_128,128k,data/processed/mp3_robustness/mp3_128/sample_00345.mp3,True,encoded,883629
sample_00345,FAKE,data/raw/Echoes/Echoes/TTA/acestep/Different_Day_First_acestep_TTA_001.mp3,mp3_64,64k,data/processed/mp3_robustness/mp3_64/sample_00345.mp3,True,encoded,441837
sample_00353,FAKE,data/raw/Echoes/Echoes/TTA/acestep/El_Burrito_Malaventura_acestep_TTA_001.mp3,mp3_128,128k,data/processed/mp3_robustness/mp3_128/sample_00353.mp3,True,encoded,961197
sample_00353,FAKE,data/raw/Echoes/Echoes/TTA/acestep/El_Burrito_Malaventura_acestep_TTA_001.mp3,mp3_64,64k,data/processed/mp3_robustness/mp3_64/sample_00353.mp3,True,encoded,480621
sample_00358,FAKE,data/raw/Echoes/Echoes/TTA/acestep/End_titles_Itsensäsyöjät_acestep_TTA_001.mp3,mp3_128,128k,data/processed/mp3_robustness/mp3_128/sample_00358.mp3,True,encoded,482349
sample_00358,FAKE,data/raw/Echoes/Echoes/TTA/acestep/End_titles_Itsensäsyöjät_acestep_TTA_001.mp3,mp3_64,64k,data/processed/mp3_robustness/mp3_64/sample_00358.mp3,True,encoded,241197
sample_00375,FAKE,data/raw/Echoes/Echoes/TTA/acestep/Fuckaboing_RoccoW_acestep_TTA_001.mp3,mp3_128,128k,data/processed/mp3_robustness/mp3_128/sample_00375.mp3,True,encoded,908973
sample_00375,FAKE,data/raw/Echoes/Echoes/TTA/acestep/Fuckaboing_RoccoW_acestep_TTA_001.mp3,mp3_64,64k,data/processed/mp3_robustness/mp3_64/sample_00375.mp3,True,encoded,454509
sample_00384,FAKE,data/raw/Echoes/Echoes/TTA/acestep/Head_of_Ancante_Talking_Tree_Akchamel_The_Giver_of_Illness_acestep_TTA_001.mp3,mp3_128,128k,data/processed/mp3_robustness/mp3_128/sample_00384.mp3,True,encoded,1134765
sample_00384,FAKE,data/raw/Echoes/Echoes/TTA/acestep/Head_of_Ancante_Talking_Tree_Akchamel_The_Giver_of_Illness_acestep_TTA_001.mp3,mp3_64,64k,data/processed/mp3_robustness/mp3_64/sample_00384.mp3,True,encoded,567405
sample_00386,FAKE,data/raw/Echoes/Echoes/TTA/acestep/Hungry_Oh_Yeah_the_Future_acestep_TTA_001.mp3,mp3_128,128k,data/processed/mp3_robustness/mp3_128/sample_00386.mp3,True,encoded,555309
sample_00386,FAKE,data/raw/Echoes/Echoes/TTA/acestep/Hungry_Oh_Yeah_the_Future_acestep_TTA_001.mp3,mp3_64,64k,data/processed/mp3_robustness/mp3_64/sample_00386.mp3,True,encoded,277677
sample_00398,FAKE,data/raw/Echoes/Echoes/TTA/acestep/I_Inflammator_acestep_TTA_001.mp3,mp3_128,128k,data/processed/mp3_robustness/mp3_128/sample_00398.mp3,True,encoded,1338285
sample_00398,FAKE,data/raw/Echoes/Echoes/TTA/acestep/I_Inflammator_acestep_TTA_001.mp3,mp3_64,64k,data/processed/mp3_robustness/mp3_64/sample_00398.mp3,True,encoded,669165
sample_00418,FAKE,data/raw/Echoes/Echoes/TTA/acestep/Leaving_Here_Mod_Fun_acestep_TTA_001.mp3,mp3_128,128k,data/processed/mp3_robustness/mp3_128/sample_00418.mp3,True,encoded,865965
sample_00418,FAKE,data/raw/Echoes/Echoes/TTA/acestep/Leaving_Here_Mod_Fun_acestep_TTA_001.mp3,mp3_64,64k,data/processed/mp3_robustness/mp3_64/sample_00418.mp3,True,encoded,433005
sample_00419,FAKE,data/raw/Echoes/Echoes/TTA/acestep/Lets_Start_Out_Slow_RoccoW_acestep_TTA_001.mp3,mp3_128,128k,data/processed/mp3_robustness/mp3_128/sample_00419.mp3,True,encoded,1549485
sample_00419,FAKE,data/raw/Echoes/Echoes/TTA/acestep/Lets_Start_Out_Slow_RoccoW_acestep_TTA_001.mp3,mp3_64,64k,data/processed/mp3_robustness/mp3_64/sample_00419.mp3,True,encoded,774765
sample_00421,FAKE,data/raw/Echoes/Echoes/TTA/acestep/Let_Youre_Body_Move_D_SMILEZ_acestep_TTA_001.mp3,mp3_128,128k,data/processed/mp3_robustness/mp3_128/sample_00421.mp3,True,encoded,821421
sample_00421,FAKE,data/raw/Echoes/Echoes/TTA/acestep/Let_Youre_Body_Move_D_SMILEZ_acestep_TTA_001.mp3,mp3_64,64k,data/processed/mp3_robustness/mp3_64/sample_00421.mp3,True,encoded,410733
sample_00426,FAKE,data/raw/Echoes/Echoes/TTA/acestep/LIQUID_SKULLS_voyageurs_acestep_TTA_001.mp3,mp3_128,128k,data/processed/mp3_robustness/mp3_128/sample_00426.mp3,True,encoded,769197
sample_00426,FAKE,data/raw/Echoes/Echoes/TTA/acestep/LIQUID_SKULLS_voyageurs_acestep_TTA_001.mp3,mp3_64,64k,data/processed/mp3_robustness/mp3_64/sample_00426.mp3,True,encoded,384621
sample_00432,FAKE,data/raw/Echoes/Echoes/TTA/acestep/Love_Dream_The_Zombie_Dandies_acestep_TTA_001.mp3,mp3_128,128k,data/processed/mp3_robustness/mp3_128/sample_00432.mp3,True,encoded,708525
sample_00432,FAKE,data/raw/Echoes/Echoes/TTA/acestep/Love_Dream_The_Zombie_Dandies_acestep_TTA_001.mp3,mp3_64,64k,data/processed/mp3_robustness/mp3_64/sample_00432.mp3,True,encoded,354285
sample_00433,FAKE,data/raw/Echoes/Echoes/TTA/acestep/Larbre_Salmo_acestep_TTA_001.mp3,mp3_128,128k,data/processed/mp3_robustness/mp3_128/sample_00433.mp3,True,encoded,1108269
sample_00433,FAKE,data/raw/Echoes/Echoes/TTA/acestep/Larbre_Salmo_acestep_TTA_001.mp3,mp3_64,64k,data/processed/mp3_robustness/mp3_64/sample_00433.mp3,True,encoded,554157
sample_00439,FAKE,data/raw/Echoes/Echoes/TTA/acestep/Moja_Krypta_AmortE_acestep_TTA_001.mp3,mp3_128,128k,data/processed/mp3_robustness/mp3_128/sample_00439.mp3,True,encoded,1484205
sample_00439,FAKE,data/raw/Echoes/Echoes/TTA/acestep/Moja_Krypta_AmortE_acestep_TTA_001.mp3,mp3_64,64k,data/processed/mp3_robustness/mp3_64/sample_00439.mp3,True,encoded,742125
sample_00444,FAKE,data/raw/Echoes/Echoes/TTA/acestep/Motocross_Mania_Monroeville_Music_Center_acestep_TTA_001.mp3,mp3_128,128k,data/processed/mp3_robustness/mp3_128/sample_00444.mp3,True,encoded,1082925
sample_00444,FAKE,data/raw/Echoes/Echoes/TTA/acestep/Motocross_Mania_Monroeville_Music_Center_acestep_TTA_001.mp3,mp3_64,64k,data/processed/mp3_robustness/mp3_64/sample_00444.mp3,True,encoded,541485
sample_00446,FAKE,data/raw/Echoes/Echoes/TTA/acestep/Music_For_an_Underground_Circu_Ergo_Phizmiz_acestep_TTA_001.mp3,mp3_128,128k,data/processed/mp3_robustness/mp3_128/sample_00446.mp3,True,encoded,1594029
sample_00446,FAKE,data/raw/Echoes/Echoes/TTA/acestep/Music_For_an_Underground_Circu_Ergo_Phizmiz_acestep_TTA_001.mp3,mp3_64,64k,data/processed/mp3_robustness/mp3_64/sample_00446.mp3,True,encoded,797037
sample_00455,FAKE,data/raw/Echoes/Echoes/TTA/acestep/Night_Owl_Broke_For_Free_acestep_TTA_001.mp3,mp3_128,128k,data/processed/mp3_robustness/mp3_128/sample_00455.mp3,True,encoded,1525677
sample_00455,FAKE,data/raw/Echoes/Echoes/TTA/acestep/Night_Owl_Broke_For_Free_acestep_TTA_001.mp3,mp3_64,64k,data/processed/mp3_robustness/mp3_64/sample_00455.mp3,True,encoded,762861
sample_00473,FAKE,data/raw/Echoes/Echoes/TTA/acestep/Pista_Afuera_Epstein_acestep_TTA_001.mp3,mp3_128,128k,data/processed/mp3_robustness/mp3_128/sample_00473.mp3,True,encoded,1059117
sample_00473,FAKE,data/raw/Echoes/Echoes/TTA/acestep/Pista_Afuera_Epstein_acestep_TTA_001.mp3,mp3_64,64k,data/processed/mp3_robustness/mp3_64/sample_00473.mp3,True,encoded,529581
sample_00476,FAKE,data/raw/Echoes/Echoes/TTA/acestep/Production_Bird_Names_acestep_TTA_001.mp3,mp3_128,128k,data/processed/mp3_robustness/mp3_128/sample_00476.mp3,True,encoded,1317549
sample_00476,FAKE,data/raw/Echoes/Echoes/TTA/acestep/Production_Bird_Names_acestep_TTA_001.mp3,mp3_64,64k,data/processed/mp3_robustness/mp3_64/sample_00476.mp3,True,encoded,658797
sample_00478,FAKE,data/raw/Echoes/Echoes/TTA/acestep/Puertas_de_Fuego_Guerra_de_Cerdos_acestep_TTA_001.mp3,mp3_128,128k,data/processed/mp3_robustness/mp3_128/sample_00478.mp3,True,encoded,927021
sample_00478,FAKE,data/raw/Echoes/Echoes/TTA/acestep/Puertas_de_Fuego_Guerra_de_Cerdos_acestep_TTA_001.mp3,mp3_64,64k,data/processed/mp3_robustness/mp3_64/sample_00478.mp3,True,encoded,463533
sample_00481,FAKE,data/raw/Echoes/Echoes/TTA/acestep/Realize_Me_Jim_Rooster_acestep_TTA_001.mp3,mp3_128,128k,data/processed/mp3_robustness/mp3_128/sample_00481.mp3,True,encoded,1038381
sample_00481,FAKE,data/raw/Echoes/Echoes/TTA/acestep/Realize_Me_Jim_Rooster_acestep_TTA_001.mp3,mp3_64,64k,data/processed/mp3_robustness/mp3_64/sample_00481.mp3,True,encoded,519213
sample_00483,FAKE,data/raw/Echoes/Echoes/TTA/acestep/Resistentialism_Nihilore_acestep_TTA_001.mp3,mp3_128,128k,data/processed/mp3_robustness/mp3_128/sample_00483.mp3,True,encoded,526893
sample_00483,FAKE,data/raw/Echoes/Echoes/TTA/acestep/Resistentialism_Nihilore_acestep_TTA_001.mp3,mp3_64,64k,data/processed/mp3_robustness/mp3_64/sample_00483.mp3,True,encoded,263469
sample_00498,FAKE,data/raw/Echoes/Echoes/TTA/acestep/Set_Fire_to_Creation_Nihilore_acestep_TTA_001.mp3,mp3_128,128k,data/processed/mp3_robustness/mp3_128/sample_00498.mp3,True,encoded,1351725
sample_00498,FAKE,data/raw/Echoes/Echoes/TTA/acestep/Set_Fire_to_Creation_Nihilore_acestep_TTA_001.mp3,mp3_64,64k,data/processed/mp3_robustness/mp3_64/sample_00498.mp3,True,encoded,675885
