original_audio,split,genre,total_samples,fake_samples
Z-Saber (feat Jake Allison) - Decktonic,train,Electronic,5,4
danse macabre - Katapulto,train,Pop,16,15
gospellioza - Katapulto,train,Pop,16,15
karaoke megablast - Katapulto,train,Pop,7,6
kolorowe wody - Katapulto,train,Pop,17,16
mc trabalenguas - Volumina,train,Pop,17,16
mystery team 2090 - Jesse Futerman,val,Electronic,17,16
philcollins takes your hand - Katapulto,train,Pop,17,16
purity & danger - Katapulto,train,Pop,20,19
shmoove - epsilon not,train,Electronic,6,5
some dextromethorphan - Jeva,val,Electronic,6,5
zero rhythm dollar boy - Katapulto,train,Pop,17,16
В Наших Сердцах - Чокнутый Пропеллер,val,Rock,6,5
Глазами Детей - Чокнутый Пропеллер,train,Rock,4,3
Кортни Лав - Чокнутый Пропеллер,train,Rock,3,2
Новый Нью-Йорк 2 - Чокнутый Пропеллер,val,Rock,14,13
